service_id,date,exception_type
"3441_345333","20220317","1"
"3441_345333","20220318","1"
"3441_345333","20220319","1"
"3441_345333","20220320","1"
"3441_345333","20220321","1"
"3441_345333","20220322","1"
"3441_345333","20220323","1"
"3441_345333","20220324","1"
"3441_345333","20220325","1"
"3441_345333","20220326","1"
"3441_345333","20220327","1"
"3441_345333","20220328","1"
"3441_345333","20220329","1"
"3441_345333","20220330","1"
"3441_345333","20220331","1"
"3441_345334","20220228","1"
"3441_345334","20220301","1"
"3441_345334","20220302","1"
"3441_345334","20220303","1"
"3441_345334","20220304","1"
"3441_345334","20220305","1"
"3441_345334","20220307","1"
"3441_345334","20220308","1"
"3441_345334","20220309","1"
"3441_345334","20220310","1"
"3441_345334","20220311","1"
"3441_345334","20220312","1"
"3441_345334","20220314","1"
"3441_345334","20220315","1"
"3441_345334","20220316","1"
"3441_345334","20220317","1"
"3441_345334","20220318","1"
"3441_345334","20220319","1"
"3441_345334","20220321","1"
"3441_345334","20220322","1"
"3441_345334","20220323","1"
"3441_345334","20220324","1"
"3441_345334","20220325","1"
"3441_345334","20220326","1"
"3441_345334","20220328","1"
"3441_345334","20220329","1"
"3441_345334","20220330","1"
"3441_345334","20220331","1"
"3441_345335","20220306","1"
"3441_345335","20220313","1"
"3441_345335","20220320","1"
"3441_345335","20220327","1"
"3441_345336","20220228","1"
"3441_345336","20220301","1"
"3441_345336","20220302","1"
"3441_345336","20220303","1"
"3441_345336","20220304","1"
"3441_345336","20220305","1"
"3441_345336","20220307","1"
"3441_345336","20220308","1"
"3441_345336","20220309","1"
"3441_345336","20220310","1"
"3441_345336","20220311","1"
"3441_345336","20220312","1"
"3441_345336","20220314","1"
"3441_345336","20220315","1"
"3441_345336","20220316","1"
"3441_345336","20220317","1"
"3441_345336","20220318","1"
"3441_345336","20220319","1"
"3441_345336","20220321","1"
"3441_345336","20220322","1"
"3441_345336","20220323","1"
"3441_345336","20220324","1"
"3441_345336","20220325","1"
"3441_345336","20220326","1"
"3441_345336","20220328","1"
"3441_345336","20220329","1"
"3441_345336","20220330","1"
"3441_345336","20220331","1"
"3441_345337","20220228","1"
"3441_345337","20220301","1"
"3441_345337","20220302","1"
"3441_345337","20220303","1"
"3441_345337","20220304","1"
"3441_345337","20220307","1"
"3441_345337","20220308","1"
"3441_345337","20220309","1"
"3441_345337","20220310","1"
"3441_345337","20220311","1"
"3441_345337","20220314","1"
"3441_345337","20220315","1"
"3441_345337","20220316","1"
"3441_345337","20220317","1"
"3441_345337","20220318","1"
"3441_345337","20220321","1"
"3441_345337","20220322","1"
"3441_345337","20220323","1"
"3441_345337","20220324","1"
"3441_345337","20220325","1"
"3441_345337","20220328","1"
"3441_345337","20220329","1"
"3441_345337","20220330","1"
"3441_345337","20220331","1"
"3441_345338","20220306","1"
"3441_345338","20220313","1"
"3441_345338","20220320","1"
"3441_345338","20220327","1"
"3441_345339","20220305","1"
"3441_345339","20220312","1"
"3441_345339","20220319","1"
"3441_345339","20220326","1"
"3441_345340","20220304","1"
"3441_345340","20220311","1"
"3441_345340","20220318","1"
"3441_345340","20220325","1"
"3441_345341","20220228","1"
"3441_345341","20220301","1"
"3441_345341","20220302","1"
"3441_345341","20220303","1"
"3441_345341","20220304","1"
"3441_345341","20220305","1"
"3441_345341","20220307","1"
"3441_345341","20220308","1"
"3441_345341","20220309","1"
"3441_345341","20220310","1"
"3441_345341","20220311","1"
"3441_345341","20220312","1"
"3441_345341","20220314","1"
"3441_345341","20220315","1"
"3441_345341","20220316","1"
"3441_345341","20220317","1"
"3441_345341","20220318","1"
"3441_345341","20220319","1"
"3441_345341","20220321","1"
"3441_345341","20220322","1"
"3441_345341","20220323","1"
"3441_345341","20220324","1"
"3441_345341","20220325","1"
"3441_345341","20220326","1"
"3441_345341","20220328","1"
"3441_345341","20220329","1"
"3441_345341","20220330","1"
"3441_345341","20220331","1"
"3441_345342","20220228","1"
"3441_345342","20220301","1"
"3441_345342","20220302","1"
"3441_345342","20220303","1"
"3441_345342","20220304","1"
"3441_345342","20220305","1"
"3441_345342","20220307","1"
"3441_345342","20220308","1"
"3441_345342","20220309","1"
"3441_345342","20220310","1"
"3441_345342","20220311","1"
"3441_345342","20220312","1"
"3441_345342","20220314","1"
"3441_345342","20220315","1"
"3441_345342","20220316","1"
"3441_345342","20220317","1"
"3441_345342","20220318","1"
"3441_345342","20220319","1"
"3441_345342","20220321","1"
"3441_345342","20220322","1"
"3441_345342","20220323","1"
"3441_345342","20220324","1"
"3441_345342","20220325","1"
"3441_345342","20220326","1"
"3441_345342","20220328","1"
"3441_345342","20220329","1"
"3441_345342","20220330","1"
"3441_345342","20220331","1"
"3441_345343","20220228","1"
"3441_345343","20220301","1"
